snapshot,issue_idx,issue_id,reward_practice,created_at,closed_at,labels
2024-08-01 00:00:00+00:00,3,5427,1.0,2024-07-25 06:09:51+00:00,2024-08-05 00:23:57+00:00,bug;closed-for-staleness;p3
2024-08-01 00:00:00+00:00,2,5431,0.5,2024-07-26 11:28:29+00:00,2024-08-16 03:07:09+00:00,bug;response-requested;closed-for-staleness;p3
2024-08-01 00:00:00+00:00,5,5430,0.3333333333333333,2024-07-24 03:22:39+00:00,2024-08-16 08:47:21+00:00,bug;response-requested;p2
2024-08-01 00:00:00+00:00,9,5690,-0.01,2024-07-19 22:37:11+00:00,,feature-request;p2;cross-sdk
2024-08-01 00:00:00+00:00,7,5421,-0.01,2024-07-23 23:34:13+00:00,,feature-request;p2
2024-09-01 00:00:00+00:00,6,5527,1.0,2024-08-22 18:55:05+00:00,2024-09-04 18:09:05+00:00,bug;p2
2024-09-01 00:00:00+00:00,5,5528,0.5,2024-08-22 20:42:09+00:00,2024-09-10 00:24:49+00:00,bug;response-requested;closed-for-staleness;p2
2024-09-01 00:00:00+00:00,4,5529,0.3333333333333333,2024-08-23 02:18:10+00:00,2024-09-10 06:08:00+00:00,bug;response-requested;closed-for-staleness;dynamodb-enhanced;p2
2024-09-01 00:00:00+00:00,0,5548,0.25,2024-08-31 01:06:21+00:00,2024-09-11 18:23:20+00:00,bug;p2
2024-09-01 00:00:00+00:00,15,5444,-0.01,2024-07-31 15:37:53+00:00,,bug;p2
2024-10-01 00:00:00+00:00,11,5598,1.0,2024-09-14 14:16:05+00:00,2024-10-08 21:05:49+00:00,feature-request;closed-for-staleness
2024-10-01 00:00:00+00:00,7,5616,0.5,2024-09-19 15:09:53+00:00,2024-10-09 01:05:52+00:00,bug;closing-soon;service-api
2024-10-01 00:00:00+00:00,8,5609,0.3333333333333333,2024-09-18 21:04:42+00:00,2024-10-09 23:15:37+00:00,feature-request;duplicate
2024-10-01 00:00:00+00:00,4,5625,0.25,2024-09-25 20:37:47+00:00,2024-10-11 15:20:12+00:00,bug;needs-triage
2024-10-01 00:00:00+00:00,20,5567,0.2,2024-09-06 08:13:02+00:00,2024-10-21 21:05:52+00:00,bug;closed-for-staleness;p3
2024-11-01 00:00:00+00:00,8,5650,1.0,2024-10-09 09:52:02+00:00,2024-11-04 21:06:04+00:00,bug;response-requested;closed-for-staleness;crt-client;p2
2024-11-01 00:00:00+00:00,6,5662,0.5,2024-10-11 16:01:04+00:00,2024-11-08 03:09:06+00:00,bug;response-requested;closed-for-staleness;p3
